kecamatan,periode,ndvi_unmasked_mean,ndvi_cropland_mean,cropland_pct
Rembang,2020Q2,0.44583786379177315,0.4681840366313724,50.751505873221056
Pancur,2020Q2,0.6007096492244798,0.5103165640911222,15.481337496922354
Lasem,2020Q2,0.47625590090731745,0.4343970920291069,16.459052860811457
Kragan,2020Q2,0.5103935675485286,0.4700689586329316,29.170556633757567
Sluke,2020Q2,0.5643380456089993,0.5004275464835902,9.12217467688561
Pamotan,2020Q2,0.567813819083675,0.5419563526992873,36.56497268033711
Sulang,2020Q2,0.5772462737388239,0.514645655274991,40.142089477030915
Sarang,2020Q2,0.4884930079569818,0.4483136896547205,49.28458162386916
Sedan,2020Q2,0.5308087078987864,0.46614304344984603,26.368444325462082
Kaliori,2020Q2,0.39718099545430047,0.4771795632786846,57.65315120181934
Gunem,2020Q2,0.5628986696779847,0.4962792050742114,24.57658219889265
Sale,2020Q2,0.6089905289380602,0.5084430095870038,15.059284300707068
Sumber,2020Q2,0.5496885032797951,0.47674368495885316,49.12904702586943
Bulu,2020Q2,0.6442986237039949,0.5059927475720896,17.451105549217562
Rembang,2020Q3,0.270095712098458,0.2595485599854778,50.751505873221056
Pancur,2020Q3,0.4818657004829382,0.3473253806420888,15.481337496922354
Lasem,2020Q3,0.42917282215163455,0.32761728175793897,16.459052860811457
Kragan,2020Q3,0.5024586654004914,0.4273999370183039,29.170556633757567
Sluke,2020Q3,0.5593360836498308,0.47174441415812224,9.12217467688561
Pamotan,2020Q3,0.39159715026295994,0.36119535134205105,36.56497268033711
Sulang,2020Q3,0.37683890841401335,0.3546090877459714,40.142089477030915
Sarang,2020Q3,0.4177251862134185,0.3723633405705734,49.28458162386916
Sedan,2020Q3,0.4603314130848447,0.41025602162124014,26.368444325462082
Kaliori,2020Q3,0.22770855715495095,0.24888113322014524,57.65315120181934
Gunem,2020Q3,0.41031232571304643,0.3768836711971462,24.57658219889265
Sale,2020Q3,0.4630006205841483,0.4383501070369044,15.059284300707068
Sumber,2020Q3,0.39183226678351196,0.37119074426003423,49.12904702586943
Bulu,2020Q3,0.4530006875927102,0.39782014228344287,17.451105549217562
Rembang,2020Q4,,,50.751505873221056
Pancur,2020Q4,,,15.481337496922354
Lasem,2020Q4,,,16.459052860811457
Kragan,2020Q4,,,29.170556633757567
Sluke,2020Q4,,,9.12217467688561
Pamotan,2020Q4,,,36.56497268033711
Sulang,2020Q4,,,40.142089477030915
Sarang,2020Q4,,,49.28458162386916
Sedan,2020Q4,,,26.368444325462082
Kaliori,2020Q4,,,57.65315120181934
Gunem,2020Q4,,,24.57658219889265
Sale,2020Q4,,,15.059284300707068
Sumber,2020Q4,,,49.12904702586943
Bulu,2020Q4,,,17.451105549217562
Rembang,2021Q1,0.43363643545485664,0.4781525111724848,50.751505873221056
Pancur,2021Q1,0.5960560788428771,0.5460678903626691,15.481337496922354
Lasem,2021Q1,0.5151081855036438,0.5351089901204643,16.459052860811457
Kragan,2021Q1,0.530845818231728,0.5762660012704125,29.170556633757567
Sluke,2021Q1,0.41726801979980743,0.45237212253398307,9.12217467688561
Pamotan,2021Q1,0.5721914589785582,0.5555038982273812,36.56497268033711
Sulang,2021Q1,0.6169073271785743,0.6081043368591168,40.142089477030915
Sarang,2021Q1,0.530499755729353,0.5039308793748245,49.28458162386916
Sedan,2021Q1,0.635920191808189,0.6027451980889187,26.368444325462082
Kaliori,2021Q1,0.3609844647196818,0.4483937625995026,57.65315120181934
Gunem,2021Q1,0.567274490281971,0.504369881040179,24.57658219889265
Sale,2021Q1,0.6524798641708557,0.5632345885461023,15.059284300707068
