kecamatan,tahun,triwulan,periode,ndvi_mean,ndvi_source,ntl_median,ntl_source,ntl_relative,ntl_valid,ndvi_recommended,ntl_recommended
Sumber,2011,4,2011Q4,0.4966111946615952,Landsat-7,7.0,DMSP-OLS,1.0769230769230769,True,False,False
Bulu,2011,4,2011Q4,0.5881274934567728,Landsat-7,5.0,DMSP-OLS,0.7692307692307693,True,False,False
Rembang,2012,1,2012Q1,,no_data,12.999999999999998,DMSP-OLS,1.9782608695652173,True,False,False
Pancur,2012,1,2012Q1,,no_data,8.0,DMSP-OLS,1.2173913043478262,True,False,False
Lasem,2012,1,2012Q1,,no_data,11.0,DMSP-OLS,1.673913043478261,True,False,False
Kragan,2012,1,2012Q1,,no_data,7.0,DMSP-OLS,1.065217391304348,True,False,False
Sluke,2012,1,2012Q1,,no_data,8.0,DMSP-OLS,1.2173913043478262,True,False,False
Pamotan,2012,1,2012Q1,,no_data,10.000000000000002,DMSP-OLS,1.521739130434783,True,False,False
Sulang,2012,1,2012Q1,,no_data,8.0,DMSP-OLS,1.2173913043478262,True,False,False
Sarang,2012,1,2012Q1,,no_data,0.0,DMSP-OLS,0.0,True,False,False
Sedan,2012,1,2012Q1,,no_data,7.0,DMSP-OLS,1.065217391304348,True,False,False
Kaliori,2012,1,2012Q1,,no_data,11.000000000000002,DMSP-OLS,1.6739130434782612,True,False,False
Gunem,2012,1,2012Q1,,no_data,0.0,DMSP-OLS,0.0,True,False,False
Sale,2012,1,2012Q1,,no_data,0.0,DMSP-OLS,0.0,True,False,False
Sumber,2012,1,2012Q1,,no_data,9.0,DMSP-OLS,1.3695652173913044,True,False,False
Bulu,2012,1,2012Q1,,no_data,0.0,DMSP-OLS,0.0,True,False,False
Rembang,2012,2,2012Q2,0.4280083111539661,Landsat-7,,no_data,,False,False,False
Pancur,2012,2,2012Q2,0.6258016400558442,Landsat-7,,no_data,,False,False,False
Lasem,2012,2,2012Q2,0.512510847099775,Landsat-7,,no_data,,False,False,False
Kragan,2012,2,2012Q2,0.4731800808542097,Landsat-7,,no_data,,False,False,False
Sluke,2012,2,2012Q2,0.5787194300911452,Landsat-7,,no_data,,False,False,False
Pamotan,2012,2,2012Q2,0.5768289219328548,Landsat-7,,no_data,,False,False,False
Sulang,2012,2,2012Q2,0.5766719561372419,Landsat-7,,no_data,,False,False,False
Sarang,2012,2,2012Q2,0.5082237351257392,Landsat-7,,no_data,,False,False,False
Sedan,2012,2,2012Q2,0.5210552527431436,Landsat-7,,no_data,,False,False,False
Kaliori,2012,2,2012Q2,0.4083427674766037,Landsat-7,,no_data,,False,False,False
Gunem,2012,2,2012Q2,0.6128176273748266,Landsat-7,,no_data,,False,False,False
Sale,2012,2,2012Q2,0.5343217209673027,Landsat-7,,no_data,,False,False,False
Sumber,2012,2,2012Q2,0.5650346779589625,Landsat-7,,no_data,,False,False,False
Bulu,2012,2,2012Q2,0.5887149788215476,Landsat-7,,no_data,,False,False,False
Rembang,2012,3,2012Q3,0.2886293533776507,Landsat-7,,no_data,,False,False,False
Pancur,2012,3,2012Q3,0.4967944305214047,Landsat-7,,no_data,,False,False,False
Lasem,2012,3,2012Q3,0.4468537534266067,Landsat-7,,no_data,,False,False,False
Kragan,2012,3,2012Q3,0.441399738401537,Landsat-7,,no_data,,False,False,False
Sluke,2012,3,2012Q3,0.4811301230524247,Landsat-7,,no_data,,False,False,False
Pamotan,2012,3,2012Q3,0.4253015968464243,Landsat-7,,no_data,,False,False,False
Sulang,2012,3,2012Q3,0.429233998345316,Landsat-7,,no_data,,False,False,False
Sarang,2012,3,2012Q3,0.3467994522108565,Landsat-7,,no_data,,False,False,False
Sedan,2012,3,2012Q3,0.4640700607700123,Landsat-7,,no_data,,False,False,False
Kaliori,2012,3,2012Q3,0.2448433150696234,Landsat-7,,no_data,,False,False,False
Gunem,2012,3,2012Q3,0.4453530865620197,Landsat-7,,no_data,,False,False,False
Sale,2012,3,2012Q3,0.4532031133603849,Landsat-7,,no_data,,False,False,False
Sumber,2012,3,2012Q3,0.3949234264411863,Landsat-7,,no_data,,False,False,False
Bulu,2012,3,2012Q3,0.4748928431694059,Landsat-7,,no_data,,False,False,False
Rembang,2012,4,2012Q4,0.0787962483358436,Landsat-7,,no_data,,False,False,False
Pancur,2012,4,2012Q4,0.2343972378717795,Landsat-7,,no_data,,False,False,False
Lasem,2012,4,2012Q4,0.0748544794643378,Landsat-7,,no_data,,False,False,False
Kragan,2012,4,2012Q4,0.3054766850078069,Landsat-7,,no_data,,False,False,False
Sluke,2012,4,2012Q4,0.1764488193655215,Landsat-7,,no_data,,False,False,False
Pamotan,2012,4,2012Q4,0.1670688246644883,Landsat-7,,no_data,,False,False,False
Sulang,2012,4,2012Q4,0.1996197116971053,Landsat-7,,no_data,,False,False,False
Sarang,2012,4,2012Q4,0.2606372917322895,Landsat-7,,no_data,,False,False,False
Sedan,2012,4,2012Q4,0.2442024791119862,Landsat-7,,no_data,,False,False,False
Kaliori,2012,4,2012Q4,0.0736989369989751,Landsat-7,,no_data,,False,False,False
Gunem,2012,4,2012Q4,0.0179571457856654,Landsat-7,,no_data,,False,False,False
Sale,2012,4,2012Q4,0.2284589591010086,Landsat-7,,no_data,,False,False,False
Sumber,2012,4,2012Q4,0.2132382769512418,Landsat-7,,no_data,,False,False,False
Bulu,2012,4,2012Q4,0.2884346159671967,Landsat-7,,no_data,,False,False,False
Rembang,2013,1,2013Q1,,no_data,,no_data,,False,False,False
Pancur,2013,1,2013Q1,,no_data,,no_data,,False,False,False
Lasem,2013,1,2013Q1,,no_data,,no_data,,False,False,False
Kragan,2013,1,2013Q1,,no_data,,no_data,,False,False,False
Sluke,2013,1,2013Q1,,no_data,,no_data,,False,False,False
Pamotan,2013,1,2013Q1,,no_data,,no_data,,False,False,False
Sulang,2013,1,2013Q1,,no_data,,no_data,,False,False,False
Sarang,2013,1,2013Q1,,no_data,,no_data,,False,False,False
Sedan,2013,1,2013Q1,,no_data,,no_data,,False,False,False
Kaliori,2013,1,2013Q1,,no_data,,no_data,,False,False,False
Gunem,2013,1,2013Q1,,no_data,,no_data,,False,False,False
Sale,2013,1,2013Q1,,no_data,,no_data,,False,False,False
Sumber,2013,1,2013Q1,,no_data,,no_data,,False,False,False
Bulu,2013,1,2013Q1,,no_data,,no_data,,False,False,False
Rembang,2013,2,2013Q2,0.6093541991502447,Landsat-8,,no_data,,False,False,False
Pancur,2013,2,2013Q2,0.7269857434578597,Landsat-8,,no_data,,False,False,False
Lasem,2013,2,2013Q2,0.5634836119370281,Landsat-8,,no_data,,False,False,False
Kragan,2013,2,2013Q2,0.5584471308706493,Landsat-8,,no_data,,False,False,False
Sluke,2013,2,2013Q2,0.4738223336210417,Landsat-8,,no_data,,False,False,False
Pamotan,2013,2,2013Q2,0.7152280645088752,Landsat-8,,no_data,,False,False,False
Sulang,2013,2,2013Q2,0.7008566340151706,Landsat-8,,no_data,,False,False,False
Sarang,2013,2,2013Q2,0.5609981215326093,Landsat-8,,no_data,,False,False,False
Sedan,2013,2,2013Q2,0.6306805922546825,Landsat-8,,no_data,,False,False,False
Kaliori,2013,2,2013Q2,0.5150054623009347,Landsat-8,,no_data,,False,False,False
Gunem,2013,2,2013Q2,0.6149381297546893,Landsat-8,,no_data,,False,False,False
Sale,2013,2,2013Q2,0.6694027265278264,Landsat-8,,no_data,,False,False,False
Sumber,2013,2,2013Q2,0.7067966141450082,Landsat-8,,no_data,,False,False,False
Bulu,2013,2,2013Q2,0.7456769271423163,Landsat-8,,no_data,,False,False,False
Rembang,2013,3,2013Q3,0.517208325716912,Landsat-8,,no_data,,False,False,False
Pancur,2013,3,2013Q3,0.69584138250302,Landsat-8,,no_data,,False,False,False
Lasem,2013,3,2013Q3,0.6060016601458361,Landsat-8,,no_data,,False,False,False
Kragan,2013,3,2013Q3,0.6255277963291285,Landsat-8,,no_data,,False,False,False
Sluke,2013,3,2013Q3,0.6634463721948836,Landsat-8,,no_data,,False,False,False
Pamotan,2013,3,2013Q3,0.6263301135573521,Landsat-8,,no_data,,False,False,False
Sulang,2013,3,2013Q3,0.6211861922719922,Landsat-8,,no_data,,False,False,False
Sarang,2013,3,2013Q3,0.5575140739625607,Landsat-8,,no_data,,False,False,False
Sedan,2013,3,2013Q3,0.6571980032448448,Landsat-8,,no_data,,False,False,False
Kaliori,2013,3,2013Q3,0.4282796754257591,Landsat-8,,no_data,,False,False,False
Gunem,2013,3,2013Q3,0.6379679490878305,Landsat-8,,no_data,,False,False,False
Sale,2013,3,2013Q3,0.6419304755358703,Landsat-8,,no_data,,False,False,False
Sumber,2013,3,2013Q3,0.5711859071749453,Landsat-8,,no_data,,False,False,False
Bulu,2013,3,2013Q3,0.6749163738165673,Landsat-8,,no_data,,False,False,False
Rembang,2013,4,2013Q4,0.3997735082150108,Landsat-8,,no_data,,False,False,False
Pancur,2013,4,2013Q4,0.6075978924024938,Landsat-8,,no_data,,False,False,False
Lasem,2013,4,2013Q4,0.5161393168835258,Landsat-8,,no_data,,False,False,False
Kragan,2013,4,2013Q4,0.5496571017425479,Landsat-8,,no_data,,False,False,False
Sluke,2013,4,2013Q4,0.5631415067557799,Landsat-8,,no_data,,False,False,False
Pamotan,2013,4,2013Q4,0.508919980983672,Landsat-8,,no_data,,False,False,False
Sulang,2013,4,2013Q4,0.4655712903293206,Landsat-8,,no_data,,False,False,False
Sarang,2013,4,2013Q4,0.4141228072791269,Landsat-8,,no_data,,False,False,False
Sedan,2013,4,2013Q4,0.5299746529118243,Landsat-8,,no_data,,False,False,False
Kaliori,2013,4,2013Q4,0.3070389165195892,Landsat-8,,no_data,,False,False,False
Gunem,2013,4,2013Q4,0.4941491972119491,Landsat-8,,no_data,,False,False,False
Sale,2013,4,2013Q4,0.4870284401732038,Landsat-8,,no_data,,False,False,False
Sumber,2013,4,2013Q4,0.4369349806430286,Landsat-8,,no_data,,False,False,False
Bulu,2013,4,2013Q4,0.5279551971698729,Landsat-8,,no_data,,False,False,False
Rembang,2014,1,2014Q1,0.638796170809103,Landsat-8,0.7790611374046666,VIIRS,2.09177179535608,True,False,True
Pancur,2014,1,2014Q1,0.5680126470642127,Landsat-8,0.3759618011225268,VIIRS,1.0094538848892436,True,False,True
Lasem,2014,1,2014Q1,0.6162281139732906,Landsat-8,0.5148521705466639,VIIRS,1.382373214912361,True,False,True
Kragan,2014,1,2014Q1,0.6045856253460031,Landsat-8,0.3568482556634708,VIIRS,0.9581341958675303,True,False,True
Sluke,2014,1,2014Q1,0.692087278881826,Landsat-8,0.5554306577264275,VIIRS,1.4913260697083492,True,False,True
Pamotan,2014,1,2014Q1,0.635061145584456,Landsat-8,0.3519434566509923,VIIRS,0.944964856847012,True,False,True
Sulang,2014,1,2014Q1,0.6677410483717104,Landsat-8,0.3027146597244801,VIIRS,0.8127860020869881,True,False,True
Sarang,2014,1,2014Q1,0.6250788972303353,Landsat-8,0.2647523559307395,VIIRS,0.7108575749714681,True,False,True
Sedan,2014,1,2014Q1,0.7198206308755808,Landsat-8,0.2768809702184068,VIIRS,0.7434227897737529,True,False,True
Kaliori,2014,1,2014Q1,0.559271606053447,Landsat-8,0.4824563246554457,VIIRS,1.2953906746874684,True,False,True
Gunem,2014,1,2014Q1,0.5607384333000495,Landsat-8,0.231965155827898,VIIRS,0.6228242523848792,True,False,True
Sale,2014,1,2014Q1,0.6436156713689132,Landsat-8,0.2265002287247861,VIIRS,0.6081509747316665,True,False,True
Sumber,2014,1,2014Q1,0.6876623419731782,Landsat-8,0.3245539966315818,VIIRS,0.8714244154004035,True,False,True
Bulu,2014,1,2014Q1,0.5709101466041072,Landsat-8,0.170249872055045,VIIRS,0.4571192983827963,True,False,True
Rembang,2014,2,2014Q2,0.525599194158741,Landsat-8,1.0382066222138482,VIIRS,2.840344369298357,True,False,True
Pancur,2014,2,2014Q2,0.6862270944261388,Landsat-8,0.3375679731019943,VIIRS,0.9235245385077258,True,False,True
Lasem,2014,2,2014Q2,0.6391715512165687,Landsat-8,0.425828294889367,VIIRS,1.1649887159242214,True,False,True
Kragan,2014,2,2014Q2,0.665271409065002,Landsat-8,0.2634940655256299,VIIRS,0.7208718085070144,True,False,True
Sluke,2014,2,2014Q2,0.7086952922895051,Landsat-8,0.6004250431716861,VIIRS,1.642653643377689,True,False,True
Pamotan,2014,2,2014Q2,0.6751917908035782,Landsat-8,0.3362776182832256,VIIRS,0.919994362562526,True,False,True
Sulang,2014,2,2014Q2,0.5954251547053752,Landsat-8,0.289712518453598,VIIRS,0.7926007240738129,True,False,True
Sarang,2014,2,2014Q2,0.5815773646302446,Landsat-8,0.2013126024657938,VIIRS,0.5507546423304728,True,False,True
Sedan,2014,2,2014Q2,0.6287651856237026,Landsat-8,0.2417302010611194,VIIRS,0.6613298362605573,True,False,True
Kaliori,2014,2,2014Q2,0.3833036469948301,Landsat-8,0.6440481598390763,VIIRS,1.761998551362629,True,False,True
Gunem,2014,2,2014Q2,0.6206324609518153,Landsat-8,0.1323555367470006,VIIRS,0.362100660409167,True,False,True
Sale,2014,2,2014Q2,0.6807485654039491,Landsat-8,0.148914142839253,VIIRS,0.4074019930834552,True,False,True
Sumber,2014,2,2014Q2,0.5806812065882876,Landsat-8,0.3385020891825358,VIIRS,0.9260801100990332,True,False,True
Bulu,2014,2,2014Q2,0.6315575480036313,Landsat-8,0.118924593552947,VIIRS,0.3253560442033398,True,False,True
Rembang,2014,3,2014Q3,0.4545714933847261,Landsat-8,1.2220147279895472,VIIRS,2.7195126595469947,True,False,True
Pancur,2014,3,2014Q3,0.6502772113966955,Landsat-8,0.4517354156230486,VIIRS,1.005307181177535,True,False,True
Lasem,2014,3,2014Q3,0.59757124492974,Landsat-8,0.547383325604292,VIIRS,1.218165255712483,True,False,True
Kragan,2014,3,2014Q3,0.6084103509323618,Landsat-8,0.3277383277457406,VIIRS,0.7293598930592655,True,False,True
Sluke,2014,3,2014Q3,0.6624542813403501,Landsat-8,0.6301799777184146,VIIRS,1.4024237089333431,True,False,True
Pamotan,2014,3,2014Q3,0.5813412290870991,Landsat-8,0.3842257463959139,VIIRS,0.8550688936185381,True,False,True
Sulang,2014,3,2014Q3,0.5462578301491062,Landsat-8,0.3686759112361608,VIIRS,0.8204637676718243,True,False,True
Sarang,2014,3,2014Q3,0.5528494280350744,Landsat-8,0.265721164100568,VIIRS,0.5913448120792538,True,False,True
Sedan,2014,3,2014Q3,0.6153202075066236,Landsat-8,0.2992972430094932,VIIRS,0.6660661469039121,True,False,True
Kaliori,2014,3,2014Q3,0.3324073327892438,Landsat-8,0.7020001176740227,VIIRS,1.5622546629686076,True,False,True
Gunem,2014,3,2014Q3,0.6152937787636654,Landsat-8,0.2265100131280375,VIIRS,0.5040829984343062,True,False,True
Sale,2014,3,2014Q3,0.6014880828410812,Landsat-8,0.2023986031539143,VIIRS,0.4504246560573421,True,False,True
Sumber,2014,3,2014Q3,0.4976027059479727,Landsat-8,0.4639167144548061,VIIRS,1.0324158531304422,True,False,True
