kecamatan,tahun,ndvi_mean,n_quarter_ndvi,ntl_median,ntl_relative,n_quarter_ntl
Gunem,2021,0.508736376835742,4,0.8229497088884511,0.7589406511269378,3
Gunem,2022,0.5642817220349616,4,0.5752904004323756,0.4610979423797163,3
Gunem,2023,0.37662425228561075,4,1.0481438827619076,0.7116661329953797,3
Gunem,2024,0.5055271963991722,4,0.9353234730204433,0.7506956822205417,3
Gunem,2025,0.5226302986618855,4,0.9193529082045934,0.7309459029300571,3
Gunem,2026,0.5735302283385167,2,1.3009896699630932,0.7330606961331707,1
Kaliori,2010,0.4536168979438854,2,8.0,1.0980392156862746,4
Kaliori,2011,0.31682377761596847,3,8.0,1.2307692307692308,4
Kaliori,2012,0.2422950065150674,3,11.000000000000002,1.6739130434782612,1
Kaliori,2013,0.416774684748761,3,,,0
Kaliori,2014,0.3790900142973832,4,0.6019021262782787,1.7087555388208027,4
Kaliori,2015,0.31596201627894577,3,0.7483508420791813,1.500921595517788,4
Kaliori,2016,0.42333176251798443,4,0.6433807033687579,1.59163109047127,4
Kaliori,2017,0.3768958869086869,2,0.7786852376351094,1.08118974233815,4
Kaliori,2018,0.3293681197530703,3,0.9527623359253741,1.1019657351208991,4
Kaliori,2019,0.3059201752890565,4,1.3227651801957692,1.4893845496412055,4
Kaliori,2020,0.34785557195169753,3,1.3487067101639132,1.4084095545040505,4
Kaliori,2021,0.3119225444364768,4,1.689820420920264,1.5879649131918105,3
Kaliori,2022,0.3814696389949229,4,1.6024107893826713,1.6297256576617922,3
Kaliori,2023,0.29408565258579505,4,2.191057432040173,1.4863254750948307,3
Kaliori,2024,0.314773720922807,4,1.5052303776519835,1.0219384702017305,3
Kaliori,2025,0.3490776303378878,4,1.9460786353734338,1.532042635728495,3
Kaliori,2026,0.3665338893781237,2,2.460886789438052,1.3866208353687832,1
Kragan,2010,0.648453038197359,2,7.0,0.9607843137254902,4
Kragan,2011,0.5019553273750196,3,5.0,0.7692307692307693,4
Kragan,2012,0.40668550142118454,3,7.0,1.065217391304348,1
Kragan,2013,0.5778773429807752,3,,,0
Kragan,2014,0.5843815736772017,4,0.237168510625139,0.6026589853017139,4
Kragan,2015,0.47914502131581366,3,0.31742472519977555,0.5901360411653715,4
Kragan,2016,0.5999685061897612,4,0.3104809943742743,0.7645959904238404,4
Kragan,2017,0.6234224866972027,2,0.5615388995475017,0.889797166026554,4
Kragan,2018,0.5097937859046867,3,0.6307666054833091,0.9186969628358943,4
Kragan,2019,0.4763455175767936,4,0.7211799897471336,0.8182015544557328,4
Kragan,2020,0.4148314666715689,3,0.8133252556175228,0.8559256920189052,4
Kragan,2021,0.5410176259943917,4,0.9076583380629307,0.8578186223130198,3
Kragan,2022,0.5902060699229882,4,0.7055111881481023,0.5659403437615481,3
Kragan,2023,0.49774781590833905,4,1.2296212989263047,0.8346086832135778,3
Kragan,2024,0.4565166456889923,4,1.1103583343418357,0.89190743223879,3
Kragan,2025,0.5412931329689268,4,1.0673589847966583,0.8315988884438569,3
Kragan,2026,0.5108823791222853,2,1.5250702337023805,0.8593220015356149,1
Lasem,2010,0.5698912048995999,2,9.0,1.2352941176470589,4
Lasem,2011,0.5472609951618671,3,8.0,1.2307692307692308,4
Lasem,2012,0.34473969333023985,3,11.0,1.673913043478261,1
Lasem,2013,0.5618748629887967,3,,,0
Lasem,2014,0.578873168447787,4,0.46217861931199655,1.2863016322122276,4
Lasem,2015,0.43902730600833717,3,0.6390806310450048,1.3096160852152687,4
Lasem,2016,0.5650304052076964,4,0.4466174508406999,1.0877201525048728,4
Lasem,2017,0.5802387296604399,2,0.6991634144459486,1.110283270983872,4
Lasem,2018,0.4721059493218747,3,0.8868747492335177,1.2942707308440546,4
Lasem,2019,0.4152631557048101,4,0.9464534776620508,1.068690187034291,4
Lasem,2020,0.3971328578676916,3,1.0434216398810114,1.095741161762921,4
Lasem,2021,0.4745306348812467,4,1.151659999840852,1.0681888593358615,3
Lasem,2022,0.543911354667168,4,1.2566024212268578,1.3201289243874779,3
Lasem,2023,0.40002157102864433,4,1.6206594333965558,1.1002267492858826,3
Lasem,2024,0.4510079021522024,4,1.481553445478544,1.1801648283240929,3
Lasem,2025,0.5360826607762811,4,1.5310052296998646,1.19312313835525,3
Lasem,2026,0.5685196202705811,2,1.9185560478757848,1.0810370477931812,1
Pamotan,2010,0.6269859563073312,2,7.0,0.9607843137254902,4
Pamotan,2011,0.5389527066690563,3,7.0,1.0769230769230769,4
Pamotan,2012,0.38973311448125586,3,10.000000000000002,1.521739130434783,1
Pamotan,2013,0.6168260530166331,3,,,0
Pamotan,2014,0.575679117457781,4,0.3325735279577153,0.9266075435039274,4
Pamotan,2015,0.478679609504492,3,0.3538388352191677,0.6553380939140776,4
Pamotan,2016,0.631186376643713,4,0.3581687821399328,0.8803615244369869,4
Pamotan,2017,0.5968372452133905,2,0.6127381931888456,0.9997540462442238,4
Pamotan,2018,0.46816427924028914,3,0.6907686104198911,0.9724647212540682,4
Pamotan,2019,0.4639122601229626,4,0.756899845602399,0.8584690852903668,4
Pamotan,2020,0.5149156608354476,3,0.8317911222197663,0.8719017124119467,4
Pamotan,2021,0.4974115394265068,4,0.942997242161927,0.8782949307898521,3
Pamotan,2022,0.5943634442906055,4,0.9768029312687648,0.9695002154409867,3
Pamotan,2023,0.3912970422258818,4,1.4036789269974548,0.9523103073154798,3
Pamotan,2024,0.47249862673664383,4,1.3067121945390712,1.0448871100011055,3
Pamotan,2025,0.522008573091659,4,1.21642330244086,0.9449260965116929,3
Pamotan,2026,0.5683986241617677,2,1.7038999122122058,0.9600860672652088,1
Pancur,2010,0.6823294068117035,2,7.0,0.9607843137254902,4
Pancur,2011,0.6294491726124226,3,7.0,1.0769230769230769,4
Pancur,2012,0.4523311028163428,3,8.0,1.2173913043478262,1
Pancur,2013,0.6768083394544578,3,,,0
Pancur,2014,0.6050776057665725,4,0.3435064299010289,0.9342262204795546,4
Pancur,2015,0.5324410711429467,3,0.5255042438310642,1.075627662216072,4
Pancur,2016,0.6613199152696875,4,0.4041796552612278,1.001915547563485,4
Pancur,2017,0.6703389250650118,2,0.65372221401677,1.0405551164539548,4
Pancur,2018,0.5469678982431776,3,0.8275023668411852,1.2226370977472558,4
Pancur,2019,0.507732197625481,4,0.8689510130952532,0.985711816899562,4
Pancur,2020,0.49534195088336425,3,0.9466431847153715,0.9923433402950351,4
